source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
aws.infra.ip-ranges,2026-09-01T09:02:19Z,2026-09-22T00:59:01Z,2026-09-22T00:59:01Z,0,0,168,0.9,0.000,16,active
aws.services.regional,2026-09-01T09:02:23Z,2026-09-22T00:59:03Z,2026-09-22T00:59:03Z,0,0,168,0.9,0.000,16,active
azure.servicetags.public,2026-09-09T14:19:37Z,2026-09-22T00:59:06Z,2026-09-22T00:59:06Z,0,0,168,0.9,0.000,5,active
peeringdb.exchanges.directory,2026-09-01T19:06:28Z,2026-09-22T00:59:11Z,2026-09-22T00:59:11Z,0,0,168,0.9,0.000,14,active
peeringdb.facilities.geo,2026-09-07T19:48:42Z,2026-09-22T00:59:26Z,2026-09-22T00:59:26Z,0,0,168,0.8,0.083,12,active
peeringdb.networks.capacity,2026-09-01T19:07:33Z,2026-09-22T00:59:41Z,2026-09-22T00:59:41Z,0,0,168,0.8,0.000,14,active
